Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start DateAscending,Column2
,,,,,,,,,,,,,
1,12,6,0,0,16.66,6,bowled,2,,v South Africa,Wellington,15-Feb-95,ODI # 975
10*,13,8,1,0,125,6,not out,1,,v New Zealand,Auckland,19-Feb-95,ODI # 978
62,112,92,1,1,67.39,3,caught,1,,v India,Dunedin,22-Feb-95,ODI # 979
7*,9,6,0,0,116.66,6,not out,2,,v New Zealand,Auckland,26-Feb-95,ODI # 983
43,104,66,3,0,65.15,3,caught,2,,v West Indies,Port of Spain,12-Mar-95,ODI # 987
0,1,2,0,0,0,5,bowled,1,,v West Indies,Georgetown,18-Mar-95,ODI # 989
11,28,21,0,0,52.38,4,stumped,1,,v West Indies,Adelaide,17-Dec-95,ODI # 1023
6,7,11,1,0,54.54,4,caught,1,,v West Indies,Melbourne,19-Dec-95,ODI # 1024
56,92,71,1,0,78.87,4,caught,2,,v Sri Lanka,Sydney,21-Dec-95,ODI # 1026
0,1,1,0,0,0,4,bowled,2,,v West Indies,Sydney,01-Jan-96,ODI # 1028
61,116,86,4,1,70.93,4,caught,2,,v West Indies,Brisbane,07-Jan-96,ODI # 1031
123,174,138,7,1,89.13,4,run out,1,,v Sri Lanka,Melbourne,09-Jan-96,ODI # 1032
11,13,19,0,0,57.89,3,bowled,1,,v Sri Lanka,Perth,12-Jan-96,ODI # 1035
5,26,5,1,0,100,3,caught,1,,v Sri Lanka,Melbourne,16-Jan-96,ODI # 1039
51,129,74,4,0,68.91,3,run out,1,,v Sri Lanka,Melbourne,18-Jan-96,ODI # 1041
17,26,26,1,0,65.38,3,caught,1,,v Sri Lanka,Sydney,20-Jan-96,ODI # 1043
6,15,12,1,0,50,3,caught,1,,v Kenya,Visakhapatnam,23-Feb-96,ODI # 1058
12,31,21,0,0,57.14,3,caught,1,,v India,Wankhede,27-Feb-96,ODI # 1065
33,47,51,4,0,64.7,3,caught,2,,v Zimbabwe,Nagpur,01-Mar-96,ODI # 1068
102,143,112,5,1,91.07,3,run out,1,,v West Indies,Jaipur,04-Mar-96,ODI # 1072
31,32,43,4,0,72.09,3,caught,2,,v New Zealand,Chennai,11-Mar-96,ODI # 1080
